Objects,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,
,,Global Angle PHIL_ROBOT_01:PHIL_ROBOT_01,,,,,,Global Angle TAG_07:TAG_07,,,,,,Global Angle TAG_11:TAG_11,,,,,,Global Angle TAG_12:TAG_12,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
76,0,0.0444351,0.0132901,1.62629,-635.466,-455.791,290.471,,,,,,,-0.0159635,0.00279955,0.0373438,991.342,-1215.49,734.253,-0.683608,1.8154,1.4316,-1196.01,-1246.47,551.975
77,0,0.0449232,0.01313,1.62619,-635.466,-455.828,290.452,,,,,,,-0.0158971,-0.0339929,0.0943776,998.327,-1217.76,733.273,-0.683094,1.81558,1.43111,-1195.98,-1246.4,551.997
78,0,0.0451116,0.013043,1.62619,-635.492,-455.799,290.469,,,,,,,,,,,,,-0.679508,1.813,1.43069,-1195.97,-1246.4,551.994
79,0,0.0449006,0.0130876,1.62622,-635.466,-455.709,290.526,,,,,,,,,,,,,-0.683342,1.81412,1.43124,-1195.97,-1246.41,552.026
80,0,0.0447164,0.0130791,1.6262,-635.481,-455.764,290.485,,,,,,,,,,,,,-0.682201,1.81401,1.43226,-1195.98,-1246.36,552.045
81,0,0.0449846,0.0127784,1.62632,-635.466,-455.737,290.492,,,,,,,,,,,,,-0.6827,1.81491,1.4317,-1195.98,-1246.4,552.038
82,0,0.0449105,0.0130875,1.6261,-635.473,-455.775,290.495,,,,,,,,,,,,,-0.685665,1.81574,1.4314,-1196.03,-1246.43,551.945
83,0,0.0443463,0.0131173,1.62666,-635.464,-455.798,290.451,,,,,,,,,,,,,-0.681402,1.81456,1.43228,-1195.97,-1246.43,552.009
84,0,0.0448956,0.0133264,1.62585,-635.465,-455.755,290.483,,,,,,,,,,,,,-0.682866,1.814,1.43035,-1195.96,-1246.4,552.013
85,0,0.0449893,0.0129711,1.6263,-635.466,-455.784,290.484,,,,,,,,,,,,,-0.679524,1.81281,1.4319,-1195.95,-1246.38,552.066
86,0,0.0451302,0.0129686,1.62592,-635.46,-455.785,290.456,,,,,,,,,,,,,-0.681785,1.8153,1.43243,-1195.96,-1246.41,552.027
87,0,0.0450956,0.0124783,1.62654,-635.47,-455.76,290.493,,,,,,,,,,,,,-0.683471,1.81542,1.43097,-1195.99,-1246.44,551.968
