left_encoder_ticks,right_encoder_ticks,left_current,right_current,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,navx_time,laptop_time
62345,15480,0,36,0.062012,0.082825,1.109985,-2.929687,-0.488281,33.752441,0,1512690171.233309
62497,15849,0,33,0.071777,-0.019409,0.936768,3.234863,-3.601074,51.879879,0,1512690171.333496
62801,16611,0,31,0.033264,0.093201,1.093201,10.437011,-3.051758,57.800289,0,1512690171.433682
62987,17097,0,35,0.137695,-0.028809,0.878784,-0.488281,4.943848,44.982906,0,1512690171.533866
63333,17945,0,32,0.117981,-0.010437,0.895874,5.676269,-2.502441,58.044430,0,1512690171.634050
63573,18583,0,32,0.158691,0.115967,0.967590,8.422852,-2.685547,70.129395,0,1512690171.734242
63712,18956,0,33,0.170715,0.022278,1.006287,2.563476,0.671387,66.589355,0,1512690171.834455
64003,19732,0,28,-0.026062,-0.089172,0.979736,7.507324,-4.089355,64.453125,0,1512690171.934642
64288,20517,0,31,0.219910,0.087280,1.078674,4.699707,1.464844,61.645504,0,1512690172.034829
64430,20890,0,33,0.041809,-0.003784,1.064941,3.479004,0.244141,61.462399,0,1512690172.135016
64778,21810,0,29,0.122620,0.008850,1.028015,10.498046,-5.187988,66.467285,0,1512690172.235204
64921,22201,0,30,0.138611,0.092468,1.003113,3.906250,1.525879,74.340820,0,1512690172.335396
65247,23110,0,28,0.030029,0.045471,1.026062,3.784179,-0.427246,76.477051,0,1512690172.435583
65443,23667,0,26,0.139343,0.146118,1.058777,11.718749,-4.211426,79.650879,0,1512690172.535771
97,24215,0,27,0.164001,0.097961,0.927185,3.234863,2.319336,81.787102,0,1512690172.635960
373,25020,0,27,-0.053284,-0.078369,1.125183,0.793457,1.647949,80.505363,0,1512690172.736146
565,25580,0,25,0.017395,0.187195,0.926331,10.925292,-5.981445,79.101562,0,1512690172.836332
850,26408,0,28,0.086243,-0.032043,0.934998,3.906250,0.854492,77.575684,0,1512690172.936487
1137,27212,0,27,0.207397,0.075867,0.805969,4.211426,-2.075195,61.218258,0,1512690173.036660
1339,27752,0,28,0.068542,0.028076,0.920898,8.300781,0.549316,60.302731,0,1512690173.136814
1618,28496,0,34,-0.054565,-0.039001,0.980103,-0.366211,4.882812,45.166012,0,1512690173.236977
1821,28984,0,33,0.074524,0.151123,1.214417,7.629394,-5.798339,52.490231,0,1512690173.337170
2171,29871,0,32,0.075256,0.063354,1.085815,10.253905,-2.502441,57.250973,0,1512690173.437354
2354,30337,0,36,0.019409,-0.024963,0.964783,0.671387,4.089355,54.077145,0,1512690173.537541
2654,31075,0,31,0.051208,-0.085022,0.985535,4.516602,-3.601074,67.626953,0,1512690173.637726
2847,31595,0,30,0.179932,-0.027527,0.982788,5.310058,1.464844,80.139160,0,1512690173.737851
3117,32377,0,28,-0.070068,0.018311,1.061707,4.821777,1.770019,78.247070,0,1512690173.837956
3261,32782,0,27,0.173706,0.037903,0.972778,9.155273,-6.164550,76.904297,0,1512690173.938113
3548,33592,0,29,0.080383,0.125793,1.068298,2.868652,1.831055,73.120117,0,1512690174.038257
3835,34379,0,28,0.006836,-0.036072,1.114624,3.173828,0.976562,66.345215,0,1512690174.138412
4087,35052,0,28,0.116760,0.075500,1.154846,9.033203,-4.699707,53.894039,0,1512690174.238526
4275,35549,0,34,0.084595,0.050354,1.030029,0.061035,2.563476,42.663570,0,1512690174.338673
4573,36269,0,34,0.060364,-0.094421,0.942688,-1.892090,-1.770019,38.574219,0,1512690174.438810
4726,36642,0,32,0.016663,0.095886,1.074463,7.629394,-5.187988,54.870602,0,1512690174.538997
5016,37373,0,36,0.124573,0.103577,1.111389,1.831055,-1.831055,45.288082,0,1512690174.639195
5310,38082,0,34,-0.001770,0.015869,0.999512,3.356933,-0.915527,53.894039,0,1512690174.739382
5460,38464,0,31,0.083313,-0.014221,0.949036,5.676269,-2.624511,49.987789,0,1512690174.839569
5750,39203,0,35,0.047485,0.096313,1.135742,4.394531,-0.671387,44.738766,0,1512690174.939759
6040,39923,0,34,0.119324,-0.031006,1.096741,2.990722,1.098633,46.081539,0,1512690175.039944
6290,40535,0,34,0.016418,-0.010193,1.074219,5.737304,2.319336,46.264645,0,1512690175.140128
6484,41019,0,34,0.109253,0.019348,1.095947,5.432128,1.159668,58.593746,0,1512690175.240285
6771,41753,0,33,0.133179,-0.011414,0.933289,0.366211,0.183105,60.302731,0,1512690175.340467
6965,42269,0,30,0.111694,0.017639,0.894653,5.126953,-1.892090,51.879879,0,1512690175.440653
7257,43021,0,33,0.093750,0.167297,0.995667,6.286621,0.793457,52.612301,0,1512690175.540840
7401,43384,0,34,0.135620,-0.003357,1.093933,1.464844,2.014160,49.865719,0,1512690175.641031
7747,44260,0,31,0.105835,0.101562,1.136292,7.568359,-5.004883,45.288082,0,1512690175.741218
7895,44633,0,33,0.055603,-0.023071,1.002747,2.258301,0.366211,60.791012,0,1512690175.841398
8232,45492,0,32,0.063354,-0.045898,0.938904,1.281738,3.479004,54.138180,0,1512690175.941580
8431,46002,0,30,0.055115,0.020813,0.937988,7.446289,-2.258301,59.509274,0,1512690176.041766
8624,46504,0,33,0.089600,0.014832,0.815552,3.356933,1.647949,59.875484,0,1512690176.141951
8912,47243,0,33,0.127930,0.026245,1.131226,0.549316,-3.479004,57.678219,0,1512690176.242138
9112,47768,0,29,0.157471,0.054810,0.979614,7.690429,-3.540039,56.152340,0,1512690176.342359
9401,48530,0,33,0.104553,0.138184,0.848389,3.295898,-1.281738,59.814449,0,1512690176.442474
9695,49275,0,31,0.144043,0.009338,1.070068,-0.122070,2.441406,50.842281,0,1512690176.542651
9898,49793,0,30,0.064270,-0.044373,1.124939,8.361816,-3.112793,56.091305,0,1512690176.642811
10189,50540,0,33,0.037354,0.133057,1.103943,3.417969,1.464844,58.166500,0,1512690176.743003
10384,51030,0,33,-0.064880,0.006897,0.916931,0.000000,-0.488281,51.269527,0,1512690176.843192
10591,51547,0,30,-0.094055,0.011230,0.910950,9.765625,-1.892090,57.495113,0,1512690176.943383
10931,52421,0,35,0.160400,0.066162,1.054810,2.380371,0.854492,47.119137,0,1512690177.043574
11079,52779,0,33,0.115479,0.027466,0.970825,-0.244141,-2.868652,37.475586,0,1512690177.143766
11388,53531,0,31,0.128906,-0.024719,1.054443,4.577637,-2.685547,44.616695,0,1512690177.243891
11684,54260,0,34,0.279846,0.163025,0.900635,6.469726,-0.915527,45.166012,0,1512690177.344068
11834,54622,0,34,0.073059,0.034424,0.886658,2.380371,-1.037598,28.747557,0,1512690177.444255
12172,55459,0,35,0.185913,0.052429,1.361145,2.624511,-7.202148,20.996092,0,1512690177.544445
12324,55819,0,34,0.009644,-0.029907,0.974670,0.671387,0.366211,46.874996,0,1512690177.644636
12683,56671,0,33,0.031128,0.120117,1.062927,6.896972,0.427246,56.884762,0,1512690177.744827
12924,57281,0,34,0.062012,0.088562,0.940674,2.624511,-2.136230,47.973629,0,1512690177.845013
13074,57645,0,34,0.166199,0.164612,1.069031,6.591796,-2.136230,59.570309,0,1512690177.945199
13374,58401,0,31,0.090698,-0.054565,0.948181,5.981445,0.000000,38.879395,0,1512690178.045382
13663,59131,0,35,0.153381,0.158142,0.995422,0.671387,3.112793,28.930662,0,1512690178.145568
13816,59491,0,35,0.057617,-0.050171,0.957703,5.737304,-0.976562,52.551266,0,1512690178.245761
14122,60240,0,31,0.113770,-0.016663,1.007996,4.150391,-4.333496,46.630856,0,1512690178.345952
14415,61001,0,33,0.075256,0.124451,0.883423,4.455566,1.953125,38.391113,0,1512690178.446137
14558,61360,0,34,0.011414,-0.015015,1.072571,1.525879,2.441406,42.114254,0,1512690178.546329
14908,62243,0,30,0.250977,0.015198,0.870667,1.098633,-2.441406,36.926270,0,1512690178.646516
15160,62875,0,33,0.004517,0.020203,1.191589,2.258301,-2.929687,46.569820,0,1512690178.746710
15312,63240,0,33,0.110291,0.050964,0.936035,5.615234,-0.915527,82.397453,0,1512690178.846898
15589,64032,0,27,0.194336,-0.009460,1.008972,7.080078,-3.967285,79.833984,0,1512690178.947085
15875,64851,0,27,0.071899,0.028320,1.200867,5.065917,0.244141,85.388176,0,1512690179.047298
16016,65264,0,26,0.081116,-0.016968,1.163513,2.441406,-0.671387,68.359375,0,1512690179.147485
16362,697,0,25,0.151123,0.021606,1.164185,8.789062,-5.920410,50.109859,0,1512690179.247673
16506,1092,0,29,0.103210,0.139099,1.036316,2.807617,3.723144,38.696289,0,1512690179.347858
16847,1972,0,30,0.022766,-0.139221,0.929993,-2.807617,0.671387,31.005857,0,1512690179.448048
