accl_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,time
0.216919,-0.400208,0.921814,-0.0610352,-0.183105,0.0610352,0
0.218445,-0.398132,0.921021,-0.0610352,-0.12207,-0.0610352,0
0.217529,-0.398865,0.921204,-0.12207,-0.244141,0.0610352,0
0.220764,-0.394958,0.92041,-0.0610352,-0.12207,-0.0610352,0
0.220764,-0.394958,0.92041,-0.0610352,-0.12207,-0.0610352,0
0.221497,-0.397095,0.919983,-0.0610352,-0.244141,0.0610352,0
0.21991,-0.397949,0.921631,0.0610352,0,-0.12207,0
0.21991,-0.397949,0.921631,0.0610352,0,-0.12207,0
0.218079,-0.39679,0.925903,-0.12207,-0.244141,-0.0610352,0
0.216797,-0.394226,0.927246,-0.183105,-0.183105,0,0
0.216797,-0.394226,0.927246,-0.183105,-0.183105,0,0
0.214722,-0.399109,0.923157,-0.12207,-0.183105,-0.0610352,0
0.21936,-0.397583,0.92334,-0.12207,-0.244141,0,0
0.21936,-0.397583,0.92334,-0.12207,-0.244141,0,0
0.220154,-0.395874,0.919006,0,-0.244141,0,0
0.216675,-0.394043,0.927551,-0.0610352,-0.183105,0,0
0.216675,-0.394043,0.927551,-0.0610352,-0.183105,0,0
0.220642,-0.395386,0.925232,-0.12207,-0.183105,-0.0610352,0
0.220398,-0.396057,0.921387,-0.0610352,-0.244141,-0.12207,0
0.220398,-0.396057,0.921387,-0.0610352,-0.244141,-0.12207,0
0.215637,-0.395447,0.923401,-0.12207,-0.244141,0,0
0.219299,-0.394592,0.919312,-0.305176,-0.305176,-0.0610352,0
0.219299,-0.394592,0.919312,-0.305176,-0.305176,-0.0610352,0
0.217712,-0.39447,0.91803,0,-0.12207,-0.0610352,0
0.217957,-0.395386,0.921997,-0.0610352,-0.12207,0,0
0.217957,-0.395386,0.921997,-0.0610352,-0.12207,0,0
0.217773,-0.395325,0.925293,-0.0610352,-0.183105,0,0
0.217651,-0.396301,0.921143,-0.12207,-0.12207,0.12207,0
0.219543,-0.397522,0.917175,-0.0610352,-0.244141,0,0
0.219543,-0.397522,0.917175,-0.0610352,-0.244141,0,0
0.217834,-0.395264,0.919067,-0.0610352,-0.366211,-0.183105,0
0.217834,-0.395264,0.919067,-0.0610352,-0.366211,-0.183105,0
0.220032,-0.396545,0.922424,-0.0610352,-0.244141,0.0610352,0
0.219543,-0.393921,0.921082,-0.183105,-0.183105,0,0
0.216614,-0.393982,0.920715,-0.12207,-0.244141,-0.0610352,0
0.216614,-0.393982,0.920715,-0.12207,-0.244141,-0.0610352,0
0.218872,-0.396851,0.920593,0.0610352,-0.183105,0.0610352,0
0.217529,-0.395813,0.916016,-0.0610352,-0.0610352,-0.12207,0
0.217529,-0.395813,0.916016,-0.0610352,-0.0610352,-0.12207,0
0.220032,-0.393677,0.925293,-0.12207,-0.183105,0,0
0.221069,-0.395081,0.92572,-0.0610352,-0.183105,0.0610352,0
0.221069,-0.395081,0.92572,-0.0610352,-0.183105,0.0610352,0
0.219421,-0.395142,0.920654,-0.12207,-0.305176,-0.0610352,0
0.220276,-0.3974,0.920227,-0.0610352,-0.12207,-0.12207,0
0.220276,-0.3974,0.920227,-0.0610352,-0.12207,-0.12207,0
0.216858,-0.394714,0.923157,-0.0610352,-0.0610352,-0.0610352,0
