Objects
100
,,Global Angle phil_robot:phil_robot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
280,0,-0.0166282,-0.0524612,2.66599,517.409,909.222,286.538
281,0,-0.0167014,-0.0527691,2.66591,517.419,909.281,286.55
282,0,-0.0167247,-0.0524815,2.66581,517.438,909.306,286.585
283,0,-0.016647,-0.0523262,2.66592,517.423,909.234,286.575
284,0,-0.0166868,-0.0526884,2.66593,517.412,909.264,286.545
285,0,-0.0166941,-0.0526786,2.66592,517.423,909.305,286.539
286,0,-0.0166575,-0.0525528,2.66592,517.425,909.243,286.56
287,0,-0.0166048,-0.0523565,2.66587,517.41,909.234,286.568
288,0,-0.0165911,-0.0521963,2.66587,517.42,909.287,286.572
289,0,-0.0166468,-0.0524494,2.66595,517.438,909.277,286.584
290,0,-0.0166838,-0.0523601,2.66598,517.419,909.248,286.535
291,0,-0.0167432,-0.0526086,2.66594,517.408,909.271,286.542
292,0,-0.0167054,-0.0525316,2.66593,517.43,909.267,286.592
293,0,-0.0167902,-0.0523851,2.66592,517.424,909.251,286.581
294,0,-0.0166995,-0.0523751,2.666,517.406,909.24,286.552
295,0,-0.0166759,-0.0524442,2.66591,517.422,909.269,286.57
296,0,-0.0166636,-0.052412,2.66591,517.434,909.285,286.566
297,0,-0.0165437,-0.0523395,2.66589,517.406,909.253,286.539
298,0,-0.0167428,-0.0524967,2.66586,517.418,909.257,286.594
299,0,-0.0167686,-0.0527192,2.66592,517.441,909.282,286.578
300,0,-0.0167034,-0.0525342,2.66596,517.416,909.242,286.535
301,0,-0.0166249,-0.0525081,2.66592,517.411,909.245,286.556
302,0,-0.0167931,-0.052569,2.66585,517.435,909.304,286.576
303,0,-0.0165989,-0.0523558,2.66583,517.424,909.277,286.562
304,0,-0.0166139,-0.0523461,2.66591,517.418,909.22,286.565
305,0,-0.0167078,-0.0523329,2.66591,517.432,909.281,286.571
306,0,-0.0167275,-0.0525552,2.66585,517.429,909.297,286.548
307,0,-0.0167085,-0.0526574,2.66592,517.417,909.231,286.579
308,0,-0.0167154,-0.0525201,2.6659,517.421,909.269,286.561
309,0,-0.0167474,-0.0524095,2.66591,517.439,909.305,286.563
310,0,-0.0166071,-0.0523567,2.66594,517.443,909.238,286.568
311,0,-0.0166612,-0.0524944,2.66593,517.405,909.253,286.544
312,0,-0.0165955,-0.0526526,2.66596,517.431,909.306,286.56
313,0,-0.01671,-0.0523642,2.66593,517.434,909.249,286.581
314,0,-0.0166975,-0.0521594,2.66592,517.42,909.223,286.543
315,0,-0.0167188,-0.0524557,2.66593,517.43,909.286,286.556
316,0,-0.0166796,-0.0523903,2.66588,517.445,909.281,286.587
317,0,-0.0165929,-0.0524923,2.66594,517.414,909.25,286.541
318,0,-0.0166839,-0.052347,2.66582,517.414,909.282,286.552
319,0,-0.0167025,-0.0524573,2.66584,517.446,909.263,286.57
320,0,-0.0166259,-0.0523173,2.66588,517.429,909.252,286.553
321,0,-0.0167097,-0.0523895,2.66593,517.412,909.286,286.542
322,0,-0.0165474,-0.0527404,2.66589,517.434,909.271,286.563
