left_ticks,right_ticks,time_s,time_ns
59278,53587,1521301131,541723098
59278,53587,1521301131,565714408
59459,53675,1521301131,589727369
59459,53675,1521301131,613721511
59459,53675,1521301131,637716569
59640,53767,1521301131,661707164
59700,53798,1521301131,685711084
59700,53798,1521301131,709677691
59883,53890,1521301131,733703357
59883,53890,1521301131,757729335
60065,53981,1521301131,789692322
60126,54011,1521301131,817697144
60126,54011,1521301131,841708268
60306,54103,1521301131,865708985
60368,54134,1521301131,893705450
60368,54134,1521301131,917717306
60551,54226,1521301131,941708530
60611,54256,1521301131,965699061
60611,54256,1521301131,997696109
60611,54256,1521301132,17707159
60790,54345,1521301132,45713809
60790,54345,1521301132,69714989
60977,54436,1521301132,93711539
60977,54436,1521301132,117739610
61160,54527,1521301132,141698566
61220,54554,1521301132,165776607
61220,54554,1521301132,189723255
61220,54554,1521301132,217743463
61403,54645,1521301132,241682747
61403,54645,1521301132,265713753
61584,54734,1521301132,289712681
61584,54734,1521301132,313713058
61584,54734,1521301132,337722962
61764,54827,1521301132,361702419
61764,54827,1521301132,385710423
61947,54913,1521301132,409691332
61947,54913,1521301132,433708797
61947,54913,1521301132,457709772
62129,55001,1521301132,481710914
62129,55001,1521301132,505709724
62312,55090,1521301132,529722305
62312,55090,1521301132,553731305
62496,55177,1521301132,581698739
62496,55177,1521301132,605709842
62496,55177,1521301132,625812263
62679,55266,1521301132,649735316
62679,55266,1521301132,673732198
62679,55266,1521301132,697713722
62861,55354,1521301132,725693899
62861,55354,1521301132,749723483
63043,55440,1521301132,773696856
63043,55440,1521301132,797709240
63230,55530,1521301132,821718373
63289,55559,1521301132,845693568
63289,55559,1521301132,869680512
63289,55559,1521301132,893717120
63471,55647,1521301132,917741615
63471,55647,1521301132,941679068
63657,55730,1521301132,965712266
63657,55730,1521301132,989710887
63657,55730,1521301133,17705464
63904,55843,1521301133,41721533
63904,55843,1521301133,69713768
63904,55843,1521301133,97708774
64089,55931,1521301133,121710161
64089,55931,1521301133,145698175
64269,56015,1521301133,169708480
64269,56015,1521301133,193721245
64269,56015,1521301133,217723923
64515,56132,1521301133,241722481
64515,56132,1521301133,265719636
64515,56132,1521301133,293696539
64699,56216,1521301133,317710456
64759,56245,1521301133,341708684
64759,56245,1521301133,365739794
64944,56330,1521301133,389710273
65007,56359,1521301133,417713745
65007,56359,1521301133,445718606
65191,56444,1521301133,469718416
65191,56444,1521301133,493743605
65374,56533,1521301133,517712808
65437,56564,1521301133,541695860
65437,56564,1521301133,565710964
65437,56564,1521301133,589704535
86,56652,1521301133,613707283
148,56682,1521301133,637736512
148,56682,1521301133,661714095
331,56771,1521301133,685711453
331,56771,1521301133,711264447
331,56771,1521301133,733717883
516,56858,1521301133,761717513
516,56858,1521301133,785766798
701,56944,1521301133,809741550
701,56944,1521301133,833761896
701,56944,1521301133,857721426
889,57031,1521301133,885715499
889,57031,1521301133,909708106
1071,57118,1521301133,937707023
1071,57118,1521301133,961780818
1255,57207,1521301133,985710515
1255,57207,1521301134,9693875
1255,57207,1521301134,33742514
1440,57293,1521301134,57710728
1440,57293,1521301134,81698866
1623,57381,1521301134,105707358
1623,57381,1521301134,129719392
1623,57381,1521301134,153732578
1807,57467,1521301134,177676957
1807,57467,1521301134,201744111
1994,57553,1521301134,225675757
2055,57582,1521301134,249710307
2055,57582,1521301134,277682640
2243,57669,1521301134,301722316
2243,57669,1521301134,325734744
2243,57669,1521301134,349740293
2426,57754,1521301134,373700843
2426,57754,1521301134,393718833
2613,57841,1521301134,417717535
2675,57872,1521301134,441682879
2675,57872,1521301134,465715073
2675,57872,1521301134,489709643
2861,57956,1521301134,513700410
2861,57956,1521301134,537723522
3046,58039,1521301134,561710329
3046,58039,1521301134,585709493
3046,58039,1521301134,609731971
3295,58153,1521301134,637719709
3295,58153,1521301134,661718612
3295,58153,1521301134,689700920
3481,58238,1521301134,713713305
3543,58266,1521301134,737695330
3543,58266,1521301134,761694439
3730,58350,1521301134,785700475
3730,58350,1521301134,809727174
3730,58350,1521301134,833714557
3975,58464,1521301134,857738646
3975,58464,1521301134,885707615
3975,58464,1521301134,909686405
4163,58551,1521301134,933714859
4224,58579,1521301134,957713602
4224,58579,1521301134,985713248
4398,58659,1521301135,9752695
4460,58689,1521301135,33742020
4460,58689,1521301135,57717618
4644,58778,1521301135,81703835
4644,58778,1521301135,105710473
4644,58778,1521301135,133723994
4829,58863,1521301135,157706129
4829,58863,1521301135,181751558
5016,58949,1521301135,205726067
5078,58979,1521301135,229771835
5078,58979,1521301135,253700427
5259,59065,1521301135,277708949
5259,59065,1521301135,301717181
5259,59065,1521301135,329711439
5446,59152,1521301135,353718509
5446,59152,1521301135,377684911
5629,59243,1521301135,401763305
5692,59272,1521301135,425733237
5692,59272,1521301135,449763453
5692,59272,1521301135,473710824
5877,59359,1521301135,497707059
5877,59359,1521301135,521784119
6062,59445,1521301135,545706826
6062,59445,1521301135,569714340
6062,59445,1521301135,593713589
6247,59533,1521301135,617782628
6247,59533,1521301135,641696184
6423,59631,1521301135,665708702
6423,59631,1521301135,685722429
6423,59631,1521301135,710504945
6592,59731,1521301135,737704380
6592,59731,1521301135,761729597
6756,59842,1521301135,785756650
6756,59842,1521301135,809676073
6756,59842,1521301135,833703485
6914,59956,1521301135,857699473
6914,59956,1521301135,881703878
7078,60067,1521301135,910121521
7078,60067,1521301135,937709590
7240,60178,1521301135,961741524
7240,60178,1521301135,985707444
7240,60178,1521301136,9689888
7403,60287,1521301136,33711057
7403,60287,1521301136,57933423
7568,60398,1521301136,81723301
7568,60398,1521301136,105710386
7568,60398,1521301136,129710287
7730,60507,1521301136,153752402
7730,60507,1521301136,177707919
7894,60616,1521301136,201709180
7894,60616,1521301136,229704718
7894,60616,1521301136,249720360
8057,60724,1521301136,273692964
8111,60759,1521301136,301698307
8111,60759,1521301136,325733309
8276,60870,1521301136,349744142
8331,60905,1521301136,373706782
8331,60905,1521301136,397715357
8494,61017,1521301136,421710927
8494,61017,1521301136,445777483
8494,61017,1521301136,469719813
8646,61139,1521301136,493720453
8693,61182,1521301136,521713112
8693,61182,1521301136,549709723
8835,61315,1521301136,573712178
8882,61361,1521301136,601713868
8882,61361,1521301136,625698996
9023,61493,1521301136,653739406
9071,61538,1521301136,681711839
9071,61538,1521301136,705719885
9213,61674,1521301136,729714629
9258,61719,1521301136,753722054
9345,61815,1521301136,777714420
9345,61815,1521301136,801709267
9345,61815,1521301136,825712767
9467,61964,1521301136,849721732
9509,62018,1521301136,873714952
9509,62018,1521301136,897733266
9622,62171,1521301136,921713305
9622,62171,1521301136,945753866
9622,62171,1521301136,969712845
9741,62331,1521301136,993678201
9741,62331,1521301137,17711035
9858,62482,1521301137,41684409
9858,62482,1521301137,65715786
9858,62482,1521301137,85759543
9971,62641,1521301137,109705682
9971,62641,1521301137,133714714
10073,62812,1521301137,157717870
10073,62812,1521301137,181785123
10073,62812,1521301137,205707139
10167,62987,1521301137,229713678
10167,62987,1521301137,253723952
10259,63165,1521301137,277735451
10259,63165,1521301137,301700930
10259,63165,1521301137,329709049
10352,63338,1521301137,353716298
10352,63338,1521301137,381715419
10447,63507,1521301137,405710899
10447,63507,1521301137,429717222
10534,63693,1521301137,453705363
10534,63693,1521301137,477719063
10534,63693,1521301137,501704265
10610,63884,1521301137,525697167
10610,63884,1521301137,549724198
10683,64084,1521301137,577707035
10683,64084,1521301137,601678437
10683,64084,1521301137,625741892
10750,64282,1521301137,649720552
10750,64282,1521301137,673735201
10821,64479,1521301137,697713803
10842,64546,1521301137,721708534
10842,64546,1521301137,749709527
10915,64745,1521301137,773702883
10915,64745,1521301137,793772824
10915,64745,1521301137,817717330
10984,64941,1521301137,841699419
10984,64941,1521301137,865715291
10984,64941,1521301137,889726721
11079,65211,1521301137,913711167
11079,65211,1521301137,937710913
11079,65211,1521301137,961709869
11147,65410,1521301137,985710818
11169,65475,1521301138,9697019
11169,65475,1521301138,33726523
11238,138,1521301138,57679706
11262,203,1521301138,81692544
11262,203,1521301138,105716539
11331,403,1521301138,133692556
11331,403,1521301138,157734973
11331,403,1521301138,185705040
11398,599,1521301138,209688652
11422,667,1521301138,233711231
11422,667,1521301138,257696792
11490,863,1521301138,281713986
11511,929,1521301138,305712619
11511,929,1521301138,329709461
11583,1131,1521301138,353708848
11583,1131,1521301138,377705209
11583,1131,1521301138,401708542
11650,1332,1521301138,429732349
11673,1399,1521301138,453697007
11673,1399,1521301138,477699156
11737,1597,1521301138,501709284
11737,1597,1521301138,525723864
11737,1597,1521301138,549697643
11806,1798,1521301138,573682378
11806,1798,1521301138,597776269
11875,1999,1521301138,621709749
11875,1999,1521301138,649701479
11943,2202,1521301138,673683216
11943,2202,1521301138,697698262
11943,2202,1521301138,721709264
12012,2402,1521301138,745701182
12012,2402,1521301138,769714861
12078,2602,1521301138,797700817
12078,2602,1521301138,825726425
12078,2602,1521301138,849701112
12144,2804,1521301138,873683228
12144,2804,1521301138,897736859
12215,3006,1521301138,921709412
12215,3006,1521301138,945711638
12215,3006,1521301138,969706864
12284,3207,1521301138,997711930
12284,3207,1521301139,21710638
12351,3407,1521301139,45723512
12351,3407,1521301139,69715075
12420,3612,1521301139,93707796
12420,3612,1521301139,121720170
12420,3612,1521301139,145713858
12488,3814,1521301139,169724969
12488,3814,1521301139,193709684
12556,4016,1521301139,217709774
12577,4083,1521301139,241716613
12577,4083,1521301139,265711503
12623,4219,1521301139,289711769
12623,4219,1521301139,317749343
12623,4219,1521301139,341756667
12623,4219,1521301139,365715726
12738,4557,1521301139,393715313
12738,4557,1521301139,417702101
12805,4760,1521301139,441703631
12805,4760,1521301139,469709200
12876,4962,1521301139,493712889
12876,4962,1521301139,517745982
